Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Unit Price,Shipping Cost,Month,Quarter,Year
1,ORD_40495,2023-10-17,2023-10-27,Second Class,CUST_4582,Customer CUST_4582,Consumer,United States,City 2,Ohio,83563,Central,PROD_9279,Furniture,Chairs,Office Chair,4147.767000000001,9,0.127,640.884,354.51,8.36,10,4,2023
2,ORD_22156,2022-07-23,2022-07-25,First Class,CUST_2674,Customer CUST_2674,Consumer,United States,City 23,Nevada,55082,West,PROD_7224,Technology,Copiers,Floor Copier,4234.14,6,0.065,658.72,705.69,21.93,7,3,2022
3,ORD_16006,2023-09-11,2023-09-24,Standard Class,CUST_2139,Customer CUST_2139,Corporate,United States,City 19,Connecticut,20458,East,PROD_4733,Office Supplies,Envelopes,Business Envelopes,574.4,10,0.108,216.6,57.44,6.92,9,3,2023
4,ORD_80010,2022-08-27,2022-08-30,First Class,CUST_3803,Customer CUST_3803,Consumer,United States,City 30,Indiana,59735,Central,PROD_5010,Furniture,Furnishings,Wall Art,1049.35,5,0.205,304.69,209.87,12.93,8,3,2022
5,ORD_37869,2022-10-04,2022-10-11,Second Class,CUST_6155,Customer CUST_6155,Consumer,United States,City 42,Illinois,70142,Central,PROD_9179,Technology,Accessories,Headphones,1081.964,2,0.283,142.01999999999998,416.14,18.52,10,4,2022
6,ORD_21915,2022-05-27,2022-06-10,First Class,CUST_9085,Customer CUST_9085,Home Office,United States,City 8,Arizona,30033,West,PROD_1771,Office Supplies,Binders,Binder Dividers,632.03,7,0.299,172.16,90.29,13.8,5,2,2022
7,ORD_44973,2023-10-05,2023-10-07,Same Day,CUST_9797,Customer CUST_9797,Home Office,United States,City 19,Connecticut,66985,East,PROD_6573,Furniture,Furnishings,Rug,3370.7700000000004,9,0.003,1002.384,288.1,43.02,10,4,2023
8,ORD_31174,2022-06-11,2022-06-24,Second Class,CUST_7126,Customer CUST_7126,Home Office,United States,City 34,Wisconsin,10074,Central,PROD_9837,Office Supplies,Paper,Copy Paper,438.5,5,0.152,161.51,87.7,10.39,6,2,2022
9,ORD_79822,2023-09-06,2023-09-09,First Class,CUST_2133,Customer CUST_2133,Corporate,United States,City 43,New York,72296,East,PROD_3060,Office Supplies,Appliances,Space Heater,105.0,10,0.026,40.89,10.5,18.32,9,3,2023
10,ORD_18392,2023-07-17,2023-07-18,Second Class,CUST_4681,Customer CUST_4681,Home Office,United States,City 38,Florida,82603,South,PROD_6539,Furniture,Bookcases,5-Shelf Bookcase,1377.3,6,0.155,327.27,229.55,9.45,7,3,2023
11,ORD_80678,2022-08-24,2022-09-05,Standard Class,CUST_4510,Customer CUST_4510,Consumer,United States,City 37,New York,85525,East,PROD_3167,Technology,Accessories,Phone Case,5446.68,6,0.071,621.86,907.78,11.69,8,3,2022
12,ORD_17944,2023-04-30,2023-05-12,Standard Class,CUST_2612,Customer CUST_2612,Consumer,United States,City 22,Florida,24322,South,PROD_7596,Furniture,Furnishings,Rug,1466.01,7,0.219,356.83,209.43,11.73,4,2,2023
13,ORD_95477,2022-09-12,2022-09-26,Same Day,CUST_1828,Customer CUST_1828,Consumer,United States,City 1,Florida,22224,South,PROD_9856,Furniture,Tables,Coffee Table,516.36,2,0.258,123.22,258.18,38.76,9,3,2022
14,ORD_47388,2022-08-31,2022-09-12,Second Class,CUST_8454,Customer CUST_8454,Corporate,United States,City 47,North Carolina,82845,South,PROD_7930,Furniture,Furnishings,Table Lamp,124.09,1,0.08,43.07,124.09,17.41,8,3,2022
15,ORD_75909,2023-11-09,2023-11-12,First Class,CUST_8811,Customer CUST_8811,Consumer,United States,City 4,Washington,76562,West,PROD_9701,Technology,Copiers,Desktop Copier,6899.490000000001,9,0.094,714.516,589.7,12.65,11,4,2023
16,ORD_51467,2022-03-24,2022-03-28,Same Day,CUST_9565,Customer CUST_9565,Consumer,United States,City 43,Pennsylvania,51180,East,PROD_5272,Furniture,Chairs,Ergonomic Chair,310.51,1,0.126,85.04,310.51,39.59,3,1,2022
17,ORD_76307,2022-09-02,2022-09-05,Same Day,CUST_4492,Customer CUST_4492,Corporate,United States,City 23,Oregon,19016,West,PROD_5345,Office Supplies,Appliances,Desk Fan,58.8,10,0.299,23.5,5.88,26.83,9,3,2022
18,ORD_44664,2022-09-08,2022-09-10,First Class,CUST_3200,Customer CUST_3200,Home Office,United States,City 48,Nevada,82512,West,PROD_2891,Office Supplies,Storage,File Cabinet,616.05,9,0.199,160.1,68.45,24.21,9,3,2022
19,ORD_46265,2022-06-09,2022-06-10,Second Class,CUST_7939,Customer CUST_7939,Home Office,United States,City 22,Oregon,27146,West,PROD_1722,Office Supplies,Storage,Desk Organizer,265.05,5,0.254,101.0,53.01,9.11,6,2,2022
20,ORD_66333,2023-10-15,2023-10-16,Same Day,CUST_3426,Customer CUST_3426,Home Office,United States,City 20,Virginia,57795,South,PROD_3088,Office Supplies,Binders,3-Ring Binder,60.957,3,0.25,17.387999999999998,15.63,39.56,10,4,2023
21,ORD_64040,2022-02-10,2022-02-13,First Class,CUST_3900,Customer CUST_3900,Home Office,United States,City 48,California,53540,West,PROD_1406,Office Supplies,Binders,Binder Dividers,292.53,3,0.071,112.67,97.51,14.11,2,1,2022
22,ORD_39219,2023-02-26,2023-03-09,Standard Class,CUST_4728,Customer CUST_4728,Corporate,United States,City 13,Ohio,62227,Central,PROD_1387,Technology,Accessories,Phone Case,4138.224,4,0.276,482.5,862.13,8.5,2,1,2023
23,ORD_33405,2022-12-03,2022-12-04,First Class,CUST_5279,Customer CUST_5279,Home Office,United States,City 7,Massachusetts,88193,East,PROD_5349,Office Supplies,Envelopes,Greeting Card Envelopes,502.749,9,0.008,123.55199999999999,42.97,23.4,12,4,2022
24,ORD_57739,2023-03-21,2023-03-23,Standard Class,CUST_4228,Customer CUST_4228,Corporate,United States,City 43,Indiana,53279,Central,PROD_8066,Office Supplies,Labels,File Labels,204.4,7,0.278,40.95,29.2,10.38,3,1,2023
